co,name,reg_name,code,pop,lat,lon
co,altamira,Altamira,6,,4.7727778,-73.1641667
co,altamira,Altamira,9,,2.0833333,-76.7666667
co,altamira,Altamira,10,,8.0666667,-73.5
co,altamira,Altamira,12,,8.1958333,-76.09527779999999
co,altamira,Altamira,16,2123.0,2.0627778,-75.7872222
co,altamira,Altamira,19,,4.1447222,-73.0758333
co,altamira,Altamira,20,,1.65,-77.4
co,altamira,Altamira,21,,8.0547222,-72.8358333
co,altamira,Altamira,26,,5.9666667,-73.9833333
co,altamira,Altamira,27,,9.516666699999998,-75.5333333
co,altamira,Altamira,28,,3.2558333,-75.6163889
co,altamira,Altamira,29,,3.5361111000000003,-76.2111111
co,altamira,Altamira,31,,5.866666700000001,-69.9
co,altamira,Altamira,32,,4.6844444,-72.1786111
co,altamira,Altamira,33,,4.383333299999999,-74.5666667
co,altamir,Altamir,2,,7.021111099999999,-75.5925
co,alta miranda,Alta Miranda,2,,6.5347222,-75.7455556
co,altamisa,Altamisa,16,,2.3927777999999997,-75.82722220000001
co,altaquer,Altaquér,20,,1.25,-78.1166667
co,altas claras,Altas Claras,18,,9.7166667,-74.35
co,alta vista,Alta Vista,2,,5.8166667,-74.65
co,altillo,Altillo,2,,7.4,-74.83333329999999
co,alto abejorral,Alto Abejorral,2,,5.6494444,-75.8577778
co,alto,Alto,9,,2.6938889,-76.77
co,alto baudo,Alto Baudó,11,3242.0,5.5258332999999995,-76.995
co,alto bello,Alto Bello,26,,6.0813889,-73.3558333
co,altobonito,Altobonito,6,,5.8411111,-74.3408333
co,alto bonito,Alto Bonito,7,,5.116666700000001,-75.5
co,alto bonito,Alto Bonito,8,,1.2480556,-75.85638890000001
co,altobonito,Altobonito,12,,8.5202778,-75.60972220000001
co,alto bonito,Alto Bonito,29,,4.1330556000000005,-75.99
co,alto buenavista,Alto Buenavista,2,,6.7841667,-76.1144444
co,alto buey pelado,Alto Buey Pelado,26,,7.106944400000001,-73.70222220000001
co,alto calera,Alto Calera,20,,1.2833333,-77.4666667
co,alto campo alegre,Alto Campo Alegre,26,,5.8633333,-73.87527779999999
co,alto cantano,Alto Cantano,26,,5.8441667,-73.6283333
co,alto capilla,Alto Capilla,26,,5.8347222,-73.635
co,alto caracuchal,Alto Caracuchal,26,,6.374444400000001,-73.1225
co,alto cauca,Alto Cauca,7,,4.9925,-75.7433333
co,alto centro boqueron,Alto Centro Boquerón,26,,5.9816667,-73.78611109999999
co,alto chuare,Alto Chuaré,9,,2.8666667,-77.2333333
co,alto cruz,Alto Cruz,2,,6.801388900000001,-75.73638890000001
co,alto de angosturas,Alto de Angosturas,26,,7.3194444,-73.31388890000001
co,alto de belleza,Alto de Belleza,28,,4.490277799999999,-75.1383333
co,alto de cabrera,Alto de Cabrera,20,,1.2833333,-77.4666667
co,alto de calarca,Alto de Calarcá,6,,5.9833333,-72.5333333
co,alto de cuatro bocas,Alto de Cuatro Bocas,5,,8.7166667,-74.1333333
co,alto de garzon,Alto de Garzón,16,,2.1933333,-75.6477778
co,alto de la cruz,Alto de La Cruz,24,,4.96,-75.5775
co,alto de la mina,Alto de la Mina,7,,4.951111099999999,-75.6625
co,alto de la torre,Alto de La Torre,28,,4.4766667,-75.1527778
co,alto del cielo,Alto del Cielo,28,,4.0583333,-75.31111109999999
co,alto del corral,Alto del Corral,2,,6.2166667,-75.7833333
co,alto de lisboa,Alto de Lisboa,7,,5.116666700000001,-75.59361109999999
co,alto del manzanillo,Alto del Manzanillo,7,,4.9263889,-75.65138890000001
co,alto del oso,Alto del Oso,23,,4.383333299999999,-75.65
co,alto de los patios,Alto de Los Patios,21,,8.25,-73.2833333
co,alto de los patos,Alto de Los Patos,10,,8.3244444,-73.3080556
co,alto del rey,Alto del Rey,9,,2.45,-76.8166667
co,alto del rio,Alto del Río,23,,4.5397222,-75.6502778
co,alto del rosario,Alto del Rosario,5,,8.8,-74.16666670000001
co,alto del rosario,Alto del Rosario,12,,8.603611099999998,-75.8386111
co,alto de mayo,Alto de Mayo,9,,1.6977778000000001,-77.29888890000001
co,alto de miradorcito,Alto de Miradorcito,28,,4.4913889000000005,-75.15611109999999
co,alto de ortega,Alto de Ortega,28,,4.0,-75.2666667
co,alto de paez,Alto de Páez,29,,4.2666667,-76.3
co,alto de tigre,Alto de Tigre,2,,7.1833333,-74.66666670000001
co,alto el cajon,Alto El Cajón,26,,6.3991667,-73.09138890000001
co,alto el oso,Alto El Oso,23,,4.383333299999999,-75.65
co,alto el pozo,Alto El Pozo,21,,8.0611111,-73.02
co,alto el rayo,Alto El Rayo,10,,8.1333333,-73.5166667
co,alto el silencio,Alto El Silencio,2,,7.268888900000001,-75.8527778
co,alto el toro,Alto El Toro,24,,4.805,-75.6394444
co,alto forero,Alto Forero,6,,5.6741667,-73.6583333
co,alto frio,Alto Frío,33,,5.6855556,-74.3458333
